ID,Country,HDI.Rank,HDI,CPI,Region,Population
1,Afghanistan,172,0.398,1.5,Asia_Pac,27657145
2,Albania,70,0.739,3.1,W_Eur,2886026
3,Algeria,96,0.698,2.9,MENA,40400000
4,Angola,148,0.486,2,SSA,25789024
5,Argentina,45,0.797,3,Americas,43850000
6,Armenia,86,0.716,2.6,Eur_Asia,2993900
7,Australia,2,0.929,8.8,Asia_Pac,24298500
8,Austria,19,0.885,7.8,W_Eur,8767919
9,Azerbaijan,91,0.7,2.4,Eur_Asia,9784600
10,Bahamas,53,0.771,7.3,Americas,378040
11,Bahrain,42,0.806,5.1,MENA,1404900
12,Bangladesh,146,0.5,2.7,Asia_Pac,161598000
13,Barbados,47,0.793,7.8,Americas,285000
14,Belarus,65,0.756,2.4,Eur_Asia,9505200
15,Belgium,18,0.886,7.5,W_Eur,11342835
16,Benin,167,0.427,3,SSA,10653654
17,Bhutan,141,0.522,5.7,Asia_Pac,781340
18,Bolivia,108,0.663,2.8,Americas,10985059
19,Bosnia and Herzegovina,74,0.733,3.2,Eur_Asia,3531159
20,Botswana,118,0.633,6.1,SSA,2230905
21,Brazil,84,0.718,3.8,Americas,206830000
22,Britain,28,0.863,7.8,W_Eur,65110000
23,Bulgaria,55,0.771,3.3,W_Eur,7153784
24,Burkina Faso,181,0.331,3,SSA,19034397
25,Burundi,185,0.316,1.9,SSA,10114505
26,Cambodia,139,0.523,2.1,Asia_Pac,15626444
27,Cameroon,150,0.482,2.5,SSA,22709892
28,Canada,6,0.908,8.7,Americas,36391900
29,Cape Verde,133,0.568,5.5,SSA,531239
30,Central African Republic,179,0.343,2.2,SSA,4998000
31,Chad,183,0.328,2,SSA,14497000
32,Chile,44,0.805,7.2,Americas,18191900
33,China,101,0.687,3.6,Asia_Pac,1380420000
34,Colombia,87,0.71,3.4,Americas,48969700
35,Comoros,163,0.433,2.4,SSA,806153
36,Congo,187,0.286,2,SSA,85110000
37,Congo  Republic,137,0.533,2.2,SSA,4741000
38,Costa Rica,69,0.744,4.8,Americas,4890379
39,Ivory Coast,170,0.4,2.2,SSA,22671331
40,Croatia,46,0.796,4,Eur_Asia,4190669
41,Cuba,51,0.776,4.2,Americas,11239004
42,Cyprus,31,0.84,6.3,W_Eur,847000
43,Czech Republic,27,0.865,4.4,W_Eur,10564866
44,Denmark,16,0.895,9.4,W_Eur,5745526
45,Djibouti,165,0.43,3,SSA,900000
46,Dominica,81,0.724,5.2,Americas,71293
47,Dominican Republic,98,0.689,2.6,Americas,10075054
48,Ecuador,83,0.72,2.7,Americas,16642300
49,Egypt,113,0.644,2.9,MENA,92120000
50,El Salvador,105,0.674,3.4,Americas,6520675
51,Equatorial Guinea,136,0.537,1.9,SSA,1222442
52,Eritrea,177,0.349,2.5,SSA,5352000
53,Estonia,34,0.835,6.4,W_Eur,1315944
54,Ethiopia,174,0.363,2.7,SSA,101853000
55,Finland,22,0.882,9.4,W_Eur,5502284
56,France,20,0.884,7,W_Eur,66842000
57,Gabon,106,0.674,3,SSA,1811079
